N,P,K,temperature,humidity,ph,rainfall,label
78.64445804585492,56.87766993862931,36.40754227133491,30.88198153745284,91.0064581392115,6.457597060858176,236.78582539611597,Rice
63.19825186360472,53.09064757207903,37.31109775868861,22.35419365977286,97.01627617455915,7.49054416424126,206.75671604599438,Rice
90.6068914829177,52.52117854629443,35.19852755620857,21.638307429694905,89.57501360222851,6.582265582660687,192.37613879610274,Rice
65.44003674454027,53.16149400662037,35.02725980853051,27.104708430535958,90.34055314772334,6.898846360575967,241.69259616715692,Rice
67.05321446082682,37.0842758176118,39.27239081130304,35.71117963320372,87.16617012220335,5.123661852648512,266.33007015868293,Rice
85.36837185116485,49.0642340876547,35.90414550000023,38.52841559561167,91.28075748352688,5.806200252066565,185.9859461125011,Rice
75.97076100937427,58.48717647461778,35.70871921548478,23.04858538830055,97.60714478756063,5.763521193533651,289.75170083453537,Rice
92.48051156840182,47.94911254360883,43.21971507819586,38.41785488267877,85.15189892332258,5.864592784123641,195.78749313976766,Rice
75.83122951257289,40.83420529829617,43.688650366528705,21.390589205454397,96.14490232182918,7.283300366653024,225.01560167261252,Rice
94.21727024598056,36.63513678421046,42.25077893368264,32.718602405731566,90.91504102631927,5.879389533461078,212.39548119358156,Rice
97.61785031684869,54.93791932076982,41.41441895139398,30.62301960190733,80.05021182658157,6.014972067110962,210.82597643728755,Rice
75.54980104615504,50.479404686023294,36.441989183975565,29.02201635297422,99.56188256738827,6.559108200416586,207.15518874591416,Rice
65.7244816287108,42.5891300441736,39.95906715247588,30.82045355902963,82.52364001396931,7.434848398158046,203.28300063347484,Rice
81.04245798471784,40.03380699005736,43.65515793853752,38.21176748954744,87.36139880696479,6.146865493990347,219.38020091303764,Rice
76.88229927046385,47.43746401143913,35.24722984094941,33.78466887487253,98.79474376795167,5.838632130336442,206.8294059034965,Rice
83.29736693203729,49.77558920897007,36.78133152827875,26.603165306241802,97.69677385101384,5.871405724875864,262.25890885175755,Rice
75.97983899967335,36.19899494748173,40.1306237038245,37.114131788237735,87.50795740176125,6.617707220170292,289.792216799329,Rice
